Accepted Symbol,Synonym Symbol,Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Category,Family,Duration,Growth Habit,Native Status,Characteristics Data,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit Color,Fruit Conspicuous,Growth Form,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Anaerobic Tolerance,CaCO<SUB>3</SUB> Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propogated by Bare Root,Propogated by Bulbs,Propogated by Container,Propogated by Corms,Propogated by Cuttings,Propogated by Seed,Propogated by Sod,Propogated by Sprigs,Propogated by Tubers,Seeds per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product
GLRE3,,GLRE3,Gluta renghas,,,Dicot,Anacardiaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYCE,,GLYCE,Glyceria,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Monocot,Poaceae,,,"L48(I,N)CAN(I,N)SPM(I,N)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLGA,,GLGA,Glyceria ×gatineauensis,"NA (L48, CAN)","CAN(QC), USA(NY)",Monocot,Poaceae,Perennial,Graminoid,L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOC,,GLOC,Glyceria ×occidentalis,"NA (L48, CAN)","CAN(BC), USA(CA, ID, NV, OR, WA)",Monocot,Poaceae,Perennial,Graminoid,L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAC,,GLAC,Glyceria acutiflora,NA (L48),"USA(AL, CT, DE, GA, IN, KY, MA, MD, ME, MI, MO, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WV)",Monocot,Poaceae,Perennial,Graminoid,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAR,,GLAR,Glyceria arkansana,NA (L48),"USA(AR, IL, KY, LA, MO, MS, NY, OK, TN, TX, VA)",Monocot,Poaceae,Perennial,Graminoid,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLBO,,GLBO,Glyceria borealis,"NA (L48, AK, CAN, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY)",Monocot,Poaceae,Perennial,Graminoid,L48(N)AK(N)CAN(N)SPM(N),Yes,Spring,Moderate,None,,No,No,No,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Bunch,Moderate,,5,No,No,Moderate,No,None,No,Erect,None,Yes,Yes,Yes,High,Medium,No,Low,Medium,Low,120,None,High,5,8.5,3500,4800,28,50,14,None,Intolerant,-33,Late Spring,Contracting Only,Medium,Spring,Summer,No,No,No,No,No,No,No,No,Yes,No,,Moderate,Medium,No,None,No,No,No,,No,No,No,,High,No,No,Medium,No,No
GLCA,,GLCA,Glyceria canadensis,"NA (L48, CAN, SPM)","CAN(BC, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, DC, DE, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, OR, PA, RI, VA, VT, WA, WI, WV)",Monocot,Poaceae,Perennial,Graminoid,L48(N)CAN(N)SPM(N),Yes,Spring,Moderate,Low,,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,,3,No,No,Moderate,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Low,100,None,Medium,5,8.5,3500,4800,20,50,16,None,Intolerant,-33,Indeterminate,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,No,No,Yes,No,,Slow,Medium,No,None,No,No,No,,No,No,No,,High,No,No,Medium,No,No
GLDE,,GLDE,Glyceria declinata,"NA (L48, CAN)","CAN(BC), USA(LA, NC, NV, NY, TX)",Monocot,Poaceae,Perennial,Graminoid,L48(I)CAN(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLFL2,,GLFL2,Glyceria fluitans,"NA (L48, CAN, SPM), HI","CAN(NF, NS), FRA(SB), USA(AR, CA, HI, ID, MA, MD, NJ, NY, PA, SD, TN)",Monocot,Poaceae,Perennial,Graminoid,L48(I)HI(I)CAN(I)SPM(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLGR,,GLGR,Glyceria grandis,"NA (L48, AK, CAN, SPM)","CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Monocot,Poaceae,Perennial,Graminoid,L48(N)AK(N)CAN(N)SPM(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLGRG,,GLGRG,Glyceria grandis var. grandis,"NA (L48, AK, CAN, SPM)","CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY)",Monocot,Poaceae,Perennial,Graminoid,L48(N)AK(N)CAN(N)SPM(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLGRK,,GLGRK,Glyceria grandis var. komarovii,"NA (AK, CAN)","CAN(YT), USA(AK)",Monocot,Poaceae,Perennial,Graminoid,AK(N)CAN(N)NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLLA,,GLLA,Glyceria laxa,"NA (L48, CAN)","CAN(NB, NS, ON, PE), USA(CT, DC, DE, MA, MD, ME, NC, NH, NJ, NY, PA, TN, VA, VT, WI, WV)",Monocot,Poaceae,Perennial,Graminoid,L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLLE2,,GLLE2,Glyceria leptostachya,"NA (L48, AK, CAN)","CAN(BC), USA(AK, CA, OR, WA)",Monocot,Poaceae,Perennial,Graminoid,L48(N)AK(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMA3,,GLMA3,Glyceria maxima,"NA (L48, CAN)","CAN(BC, NF, ON, QC), USA(AK, CT, MA, WI)",Monocot,Poaceae,Perennial,Graminoid,L48(I)CAN(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLME2,,GLME2,Glyceria melicaria,"NA (L48, CAN)","CAN(NB, NS, ON, QC), USA(AL, CT, GA, KY, MA, MD, ME, MS, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WV)",Monocot,Poaceae,Perennial,Graminoid,L48(N)CAN(N),Yes,Spring,Moderate,None,,No,No,No,Green,No,Green,Moderate,Porous,Fine,Black,No,Bunch,Moderate,,4,No,No,Moderate,No,None,No,Erect,None,No,Yes,Yes,Medium,Medium,No,Low,Medium,Low,100,None,Medium,4.5,8,3500,4800,35,50,16,None,Intolerant,-33,Late Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,No,No,Yes,No,,Moderate,Medium,No,None,No,No,No,,No,No,No,,High,No,No,Medium,No,No
GLNU,,GLNU,Glyceria nubigena,NA (L48),"USA(NC, TN)",Monocot,Poaceae,Perennial,Graminoid,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOB,,GLOB,Glyceria obtusa,"NA (L48, CAN)","CAN(NB, NS), USA(CT, DC, DE, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA)",Monocot,Poaceae,Perennial,Graminoid,L48(N)CAN(N),Yes,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Green,No,Rhizomatous,Rapid,,3,No,No,Short,No,None,No,Erect,None,No,Yes,Yes,High,Medium,No,Low,Medium,None,140,None,High,4,7,10912,19912,40,50,4,None,Tolerant,-8,Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,No,No,Yes,No,,Moderate,Medium,No,Moderate,No,No,No,,No,No,No,Medium,Medium,No,No,,No,No
GLPU2,,GLPU2,Glyceria pulchella,"NA (AK, CAN)","CAN(AB, BC, MB, NT, SK, YT), USA(AK)",Monocot,Poaceae,Perennial,Graminoid,AK(N)CAN(N)NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLSE3,,GLSE3,Glyceria septentrionalis,"NA (L48, CAN)","CAN(ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV)",Monocot,Poaceae,Perennial,Graminoid,L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLST,,GLST,Glyceria striata,"NA (L48, AK, CAN, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Monocot,Poaceae,Perennial,Graminoid,L48(N)AK(N)CAN(N)SPM(N),Yes,Spring,Slow,None,,No,No,No,Green,No,Green,Moderate,Porous,Fine,Red,No,Rhizomatous,Moderate,,6,No,No,Short,No,None,No,Semi-Erect,None,No,Yes,Yes,High,Medium,No,Low,Medium,Low,100,None,Medium,4,8,3475,7856,10,60,4,None,Tolerant,-35,Early Summer,Routinely Available,Medium,Spring,Fall,No,No,No,No,No,No,No,No,Yes,No,,Moderate,Medium,No,Slow,No,No,No,,No,No,No,Low,High,No,No,Medium,No,No
GLYCI,,GLYCI,Glycine,NA (L48),"CAN(ON, QC), USA+(PR), USA(AL, AR, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, PA, SC, TN, VA, WI, WV)",Dicot,Fabaceae,,,L48(I)CAN(W),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLCL2,,GLCL2,Glycine clandestina,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLFA3,,GLFA3,Glycine falcata,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMA4,,GLMA4,Glycine max,"NA (L48, CAN), PR","CAN(ON, QC), USA+(PR), USA(AL, AR, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, PA, SC, TN, VA, WI, WV)",Dicot,Fabaceae,Annual,Forb/herb,L48(I)PR(I)CAN(W),Yes,Summer,,None,Low,No,No,No,Purple,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Rapid,,3,No,No,,No,Medium,No,Erect,None,Yes,Yes,Yes,Low,Low,No,Medium,Low,None,140,None,Medium,5.5,7.8,,,16,59,8,Medium,Intolerant,-28,Mid Summer,Routinely Available,High,Summer,Fall,Yes,No,No,No,No,No,Yes,No,No,No,4880,None,High,No,None,No,No,No,,No,No,No,High,High,Yes,No,High,No,No
GLTA2,,GLTA2,Glycine tabacina,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLTO2,,GLTO2,Glycine tomentella,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYCO,,GLYCO,Glycosmis,NA (L48),USA(FL),Dicot,Rutaceae,,,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLPA4,,GLPA4,Glycosmis parviflora,NA (L48),USA(FL),Dicot,Rutaceae,Perennial,"Tree, Shrub",L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYCY,,GLYCY,Glycyrrhiza,NA (L48),"CAN(AB, BC, MB, ON, SK), USA(AR, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, ME, MN, MO, MT, ND, NE, NM, NV, NY, OK, OR, PA, RI, SD, TX, UT, VA, WA, WI, WY)",Dicot,Fabaceae,,,"L48(I,N)CAN(N)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEC2,,GLEC2,Glycyrrhiza echinata,,,Dicot,Fabaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLGL,,GLGL,Glycyrrhiza glabra,NA (L48),"USA(CA, NV, UT)",Dicot,Fabaceae,Perennial,"Subshrub, Forb/herb",L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLLE3,,GLLE3,Glycyrrhiza lepidota,"NA (L48, CAN)","CAN(AB, BC, MB, ON, SK), USA(AR, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, ME, MN, MO, MT, ND, NE, NM, NV, NY, OK, OR, PA, RI, SD, TX, UT, VA, WA, WI, WY)",Dicot,Fabaceae,Perennial,Forb/herb,L48(N)CAN(N),Yes,Spring and Summer,Slow,None,Medium,No,Yes,No,White,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Single Crown,Moderate,,4,No,No,Moderate,No,Low,No,Erect,None,No,Yes,Yes,High,Medium,No,None,Medium,Medium,120,None,High,5.5,8,,,14,40,12,None,Intermediate,-38,Late Spring,Contracting Only,Medium,Spring,Summer,Yes,No,No,No,No,No,Yes,No,No,No,52688,Moderate,Medium,No,None,No,No,No,,No,No,No,,,No,No,,No,No
GLYPH,,GLYPH,Glyphis,NA (L48),,Lichen,Graphidaceae,,,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLCI2,,GLCI2,Glyphis cicatricosa,NA (L48),,Lichen,Graphidaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYPH2,,GLYPH2,Glypholecia,NA (L48),,Lichen,Acarosporaceae,,,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLSC,,GLSC,Glypholecia scabra,NA (L48),,Lichen,Acarosporaceae,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYPT,,GLYPT,Glyptopleura,NA (L48),"USA(AZ, CA, ID, NV, OR, UT)",Dicot,Asteraceae,,,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMA2,,GLMA2,Glyptopleura marginata,NA (L48),"USA(AZ, CA, ID, NV, OR, UT)",Dicot,Asteraceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLSE4,,GLSE4,Glyptopleura setulosa,NA (L48),"USA(AZ, CA, NV, UT)",Dicot,Asteraceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMELI,,GMELI,Gmelina,"HI, PR","USA+(PR), USA(HI, PW)",Dicot,Verbenaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMAR,,GMAR,Gmelina arborea,PR,USA+(PR),Dicot,Verbenaceae,Perennial,Tree,PR(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMAS,,GMAS,Gmelina asiatica,"NA (GU, PB), HI,PR","USA+(PR), USA(HI, PW)",Dicot,Verbenaceae,Perennial,Shrub,L48(I?)HI(I)PR(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMEL,,GMEL,Gmelina elliptica,,USA(PW),,Verbenaceae,Perennial,"Shrub, Tree",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMPA,,GMPA,Gmelina palawensis,,USA(PW),,Verbenaceae,Perennial,Tree,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMPH,,GMPH,Gmelina philippensis,,,Dicot,Verbenaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNAPH,,GNAPH,Gnaphalium,"GL (L48, GL)","CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA+(PR)",Dicot,Asteraceae,,,"L48(I,N)CAN(I,N)GL(I)SPM(I)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNEX,,GNEX,Gnaphalium exilifolium,"NA (L48, AK)","USA(AZ, CO, KS, NM, SD, UT, WY)",Dicot,Asteraceae,Annual,Forb/herb,L48(N)AK(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNPA,,GNPA,Gnaphalium palustre,"NA (L48, CAN)","CAN(AB, BC, SK), USA(AZ, CA, CO, ID, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY)",Dicot,Asteraceae,Annual,Forb/herb,L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNPO,,GNPO,Gnaphalium polycaulon,PR,USA+(PR),Dicot,Asteraceae,Annual,Forb/herb,PR(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNUL,,GNUL,Gnaphalium uliginosum,"NA (L48, AK, CAN, GL, SPM)","CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, CO, CT, DC, DE, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NH, NJ, NY, OH, OR, PA, RI, UT, VA, VT, WA, WI, WV)",Dicot,Asteraceae,Annual,Forb/herb,L48(I)AK(I)CAN(I)GL(I)SPM(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNETU,,GNETU,Gnetum,,,Gymnosperm,Gnetaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNAF,,GNAF,Gnetum africanum,,,Gymnosperm,Gnetaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNBU,,GNBU,Gnetum buchholzianum,,,Gymnosperm,Gnetaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNGN,,GNGN,Gnetum gnemon,,,Gymnosperm,Gnetaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOCHN,,GOCHN,Gochnatia,NA (L48),"USA(AL, LA, TX)",Dicot,Asteraceae,,,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOHY,,GOHY,Gochnatia hypoleuca,NA (L48),"USA(AL, LA, TX)",Dicot,Asteraceae,Perennial,Shrub,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOETZ,,GOETZ,Goetzea,PR,USA+(PR),Dicot,Solanaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOEL,,GOEL,Goetzea elegans,PR,USA+(PR),Dicot,Solanaceae,Perennial,Tree,PR(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLLA,,GOLLA,Gollania,NA (L48),,Moss,Hypnaceae,,,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTU2,,GOTU2,Gollania turgens,NA (L48),,Moss,Hypnaceae,,Nonvascular,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOMID,,GOMID,Gomidesia,PR,USA+(PR),Dicot,Myrtaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLI,,GOLI,Gomidesia lindeniana,PR,USA+(PR),Dicot,Myrtaceae,Perennial,"Tree, Shrub",PR(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOMPH3,,GOMPH3,Gomphillus,NA (L48),,Lichen,Gomphillaceae,,,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
