Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Valeriana excelsa,established,",1,",",13,11,14,10,12,",",ALB,AUT,BLT,BGM,BUL,CZE,DEN,FIN,FRA,GER,GRB,HUN,ICE,IRE,ITA,RUN,RUW,NOR,POL,POR,ROM,SPA,SWE,SWI,UKR,YUG,",",,ALB-OO,AUT-AU,BGM-BE,BLT-OO,BUL-OO,CZE-OO,DEN-OO,FIN-OO,FRA-FR,GER-OO,GRB-OO,HUN-OO,ICE-OO,IRE-IR,ITA-IT,NOR-OO,POL-OO,POR-OO,ROM-OO,RUN-OO,RUW-OO,SPA-SP,SWE-OO,SWI-OO,UKR-UK,YUG-OO,",",1,",",11,",",GER,",",GER-OO,",,,,
Valeriana excelsa subsp. sambucifolia,established,",1,",",13,11,14,10,12,",",ALB,AUT,BLT,BUL,CZE,DEN,FRA,GER,GRB,HUN,ICE,IRE,ITA,RUN,RUW,NOR,POL,ROM,SPA,SWE,SWI,UKR,YUG,",",,ALB-OO,AUT-AU,BLT-OO,BUL-OO,CZE-OO,DEN-OO,FRA-FR,GER-OO,GRB-OO,HUN-OO,ICE-OO,IRE-IR,ITA-IT,NOR-OO,POL-OO,ROM-OO,RUN-OO,RUW-OO,SPA-SP,SWE-OO,SWI-OO,UKR-UK,YUG-OO,",",1,",",14,",",RUC,",",RUC-OO,",,,,
Valeriana graciliflora,established,",2,1,",",20,12,13,",",ALG,BAL,GRC,ITA,KRI,LBY,SIC,TUN,",",,ALG-OO,BAL-OO,GRC-OO,ITA-IT,KRI-OO,LBY-OO,SIC-SI,TUN-OO,",",5,",",50,",",SOA,",",SOA-OO,",,,,
Valeriana locusta,established,",1,2,3,",",13,20,11,14,12,10,34,33,",",ALB,ALG,AUT,BLT,BLR,BGM,BUL,RUC,COR,CZE,DEN,EAI,RUE,FIN,FRA,GER,GRB,GRC,HUN,IRE,ITA,KRY,MOR,NET,NCS,RUW,NOR,POL,POR,ROM,SAR,SIC,RUS,SPA,SWE,SWI,TCS,TUR,TUE,UKR,YUG,",",,ALB-OO,ALG-OO,AUT-AU,BGM-BE,BLR-OO,BLT-OO,BUL-OO,COR-OO,CZE-OO,DEN-OO,EAI-OO,FIN-OO,FRA-FR,GER-OO,GRB-OO,GRC-OO,HUN-OO,IRE-IR,ITA-IT,KRY-OO,MOR-MO,NCS-OO,NET-OO,NOR-OO,POL-OO,POR-OO,ROM-OO,RUC-OO,RUE-OO,RUS-OO,RUW-OO,SAR-OO,SIC-SI,SPA-SP,SWE-OO,SWI-OO,TCS-OO,TUE-OO,TUR-OO,UKR-UK,YUG-OO,",",8,5,1,7,2,3,",",85,50,13,71,72,23,21,38,14,51,78,76,75,73,74,77,83,",",AGE,AGS,TAS,VIC,WAU,BUL,BRC,ONT,CLC,CLS,ZAI,CNY,JAP,KOR,BLT,MDR,ALA,ARK,CAL,CNT,WDC,DEL,GEO,IDA,ILL,INI,KTY,MAS,MRY,MAI,MIC,MSO,MSI,MNT,NCA,NWJ,NWY,OHI,ORE,PEN,SCA,TEN,TEX,UTA,VRG,VER,WAS,WVA,BOL,NZN,NZS,",",AGE-BA,AGS-CB,AGE-DF,AGS-TF,TAS-OO,VIC-OO,WAU-WA,BUL-OO,BRC-OO,ONT-OO,CLC-OH,CLC-BI,CLC-LA,CLS-LL,ZAI-OO,CNY-OO,KOR-SK,BLT-LI,MDR-OO,ALA-OO,ARK-OO,CAL-OO,CNT-OO,WDC-OO,DEL-OO,GEO-OO,IDA-OO,ILL-OO,INI-OO,KTY-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MSO-OO,MSI-OO,MNT-OO,NCA-OO,NWJ-OO,NWY-OO,OHI-OO,ORE-OO,PEN-OO,SCA-OO,TEN-OO,TEX-OO,UTA-OO,VRG-OO,VER-OO,WAS-OO,WVA-OO,BOL-OO,NZN-OO,NZS-OO,",,,,
Valeriana macrosiphon,established,",2,1,",",20,12,",",ALG,MOR,SPA,",",,ALG-OO,MOR-MO,SPA-SP,",",5,8,1,",",50,81,13,",",SOA,WAU,BER,GRC,ITA,",",SOA-OO,WAU-WA,BER-OO,GRC-OO,ITA-IT,",,,,
Valeriana officinalis,invasive,",1,3,",",13,11,14,10,12,34,33,",",ALB,AUT,BLT,BLR,BUL,RUC,CZE,DEN,RUE,FIN,FRA,GER,HUN,IRN,ITA,KRY,NCS,RUN,RUW,POL,ROM,RUS,SWE,SWI,TCS,TUR,TUE,UKR,YUG,",",,ALB-OO,AUT-AU,BLR-OO,BLT-OO,BUL-OO,CZE-OO,DEN-OO,FIN-OO,FRA-FR,GER-OO,HUN-OO,IRN-OO,ITA-IT,KRY-OO,NCS-OO,POL-OO,ROM-OO,RUC-OO,RUE-OO,RUN-OO,RUS-OO,RUW-OO,SWE-OO,SWI-OO,TCS-OO,TUE-OO,TUR-OO,UKR-UK,YUG-OO,",",7,1,",",71,72,70,10,75,74,73,",",BRC,MAN,NBR,NFL,NSC,ONT,PEI,QUE,YUK,ICE,CNT,IOW,IDA,ILL,INI,MAS,MAI,MIC,MIN,MNT,NWH,NWJ,NWY,OHI,ORE,PEN,VER,WAS,WIS,WVA,WYO,",",BRC-OO,MAN-OO,NBR-OO,NFL-NE,NSC-OO,ONT-OO,PEI-OO,QUE-OO,YUK-OO,ICE-OO,CNT-OO,IOW-OO,IDA-OO,ILL-OO,INI-OO,MAS-OO,MAI-OO,MIC-OO,MIN-OO,MNT-OO,NWH-OO,NWJ-OO,NWY-OO,OHI-OO,ORE-OO,PEN-OO,VER-OO,WAS-OO,WIS-OO,WVA-OO,WYO-OO,",",7,",,,
Valeriana phu,established,",3,",",34,",",TUR,",",,TUR-OO,",",1,",",10,",",GRB,",",GRB-OO,",,,,
Valeriana pumila,established,",1,2,3,",",13,20,12,34,11,14,33,32,",",ALB,ALG,BUL,COR,CYP,EAI,FRA,GRC,HUN,IRN,IRQ,ITA,KRI,KRY,LBS,MOR,NCS,PAL,POR,ROM,SIC,SPA,TCS,TUN,TUR,TUE,TKM,UKR,YUG,",",,ALB-OO,ALG-OO,BUL-OO,COR-OO,CYP-OO,EAI-OO,FRA-FR,GRC-OO,HUN-OO,IRN-OO,IRQ-OO,ITA-IT,KRI-OO,KRY-OO,LBS-OO,MOR-MO,NCS-OO,PAL-OO,POR-OO,ROM-OO,SIC-SI,SPA-SP,TCS-OO,TKM-OO,TUE-OO,TUN-OO,TUR-OO,UKR-UK,YUG-OO,",",1,",",14,",",UKR,",",UKR-UK,",,,,
Valeriana pyrenaica,established,",1,",",12,",",FRA,SPA,",",,FRA-FR,SPA-SP,",",1,",",10,",",GRB,IRE,",",GRB-OO,IRE-NI,IRE-IR,",,,,
Valeriana rimosa,established,",1,2,3,",",13,20,11,14,10,12,33,34,",",ALB,ALG,AUT,BLR,BGM,BUL,CZE,DEN,FRA,GER,GRC,HUN,ITA,KRY,MOR,NET,NCS,POL,ROM,SIC,RUS,SPA,SWI,TCS,TUR,UKR,YUG,",",,ALB-OO,ALG-OO,AUT-AU,BGM-BE,BLR-OO,BUL-OO,CZE-OO,DEN-OO,FRA-FR,GER-OO,GRC-OO,HUN-OO,ITA-IT,KRY-OO,MOR-MO,NCS-OO,NET-OO,POL-OO,ROM-OO,RUS-OO,SIC-SI,SPA-SP,SWI-OO,TCS-OO,TUR-OO,UKR-UK,YUG-OO,",",5,1,8,",",50,13,85,10,",",TAS,BUL,CLC,GRB,IRE,",",TAS-OO,BUL-OO,CLC-LA,GRB-OO,IRE-IR,",,,,
Valeriana rubra,invasive,",1,2,",",13,20,21,12,",",ALB,ALG,AZO,BAL,COR,FRA,GRC,ITA,MOR,POR,SIC,SPA,TUN,TUE,YUG,",",,ALB-OO,ALG-OO,AZO-OO,BAL-OO,COR-OO,FRA-FR,GRC-OO,ITA-IT,MOR-MO,POR-OO,SIC-SI,SPA-SP,TUE-OO,TUN-OO,YUG-OO,",",5,1,7,8,2,3,6,",",50,11,71,85,10,12,21,34,79,13,51,14,76,63,73,27,83,",",NSW,SOA,TAS,VIC,WAU,BGM,BRC,SWI,JNF,DEN,BAL,CNY,COR,GRB,IRE,PAL,FRA,AUT,MXE,SIC,MDR,SWE,UKR,ARI,CAL,HAW,ORE,UTA,WAS,WYO,CPP,AZO,BOL,NZN,NZS,GER,CYP,",",NSW-NS,SOA-OO,TAS-OO,VIC-OO,WAU-WA,BGM-BE,BRC-OO,SWI-OO,JNF-OO,DEN-OO,BAL-OO,CNY-OO,COR-OO,GRB-OO,IRE-NI,IRE-IR,PAL-IS,FRA-CI,AUT-LI,BGM-LU,MXE-CO,MXE-HI,MXE-QU,SIC-MA,MDR-OO,SWE-OO,UKR-UK,ARI-OO,CAL-OO,HAW-HI,ORE-OO,UTA-OO,WAS-OO,WYO-OO,CPP-WC,AZO-OO,BOL-OO,NZN-OO,NZS-OO,GER-OO,CYP-OO,,",",2,",",21,",",CNY,",",,CNY-OO,"
Valeriana transjenisensis,established,",3,",",30,37,31,",",ALT,BRY,CTA,IRK,KRA,,MON,PRM,TVA,WSB,YAK,",",,ALT-OO,BRY-OO,CTA-OO,IRK-OO,KRA-OO,MON-OO,PRM-OO,TVA-OO,WSB-OO,YAK-OO,",",3,",",31,",",MAG,",",MAG-OO,",,,,
Valeriana umbilicata,established,",7,",",78,75,74,72,",",ALA,CNT,WDC,ILL,INI,KTY,MRY,MAS,MIC,NWJ,NWY,NCA,OHI,ONT,PEN,SCA,TEN,VRG,WVA,",",,ALA-OO,CNT-OO,ILL-OO,INI-OO,KTY-OO,MAS-OO,MIC-OO,MRY-OO,NCA-OO,NWJ-OO,NWY-OO,OHI-OO,ONT-OO,PEN-OO,SCA-OO,TEN-OO,VRG-OO,WDC-OO,WVA-OO,",",7,",",75,",",CNT,",",CNT-OO,",,,,
Valeriana uncinata,established,",3,1,",",34,14,33,32,",",AFG,IRN,KRY,NCS,TZK,TCS,TUR,TKM,UZB,",",,AFG-OO,IRN-OO,KRY-OO,NCS-OO,TCS-OO,TKM-OO,TUR-OO,TZK-OO,UZB-OO,",",1,",",14,",",UKR,",",UKR-UK,",,,,
Valeriana vesicaria,established,",3,1,2,",",34,13,20,12,32,",",CYP,EAI,GRC,IRN,IRQ,ITA,KRI,LBS,LBY,PAL,SAR,SIC,TUR,TUE,TKM,",",,CYP-OO,EAI-OO,GRC-OO,IRN-OO,IRQ-OO,ITA-IT,KRI-OO,LBS-OO,LBY-OO,PAL-OO,SAR-OO,SIC-SI,TKM-OO,TUE-OO,TUR-OO,",",8,",",85,",",AGE,",",AGE-DF,",,,,
Valeriana woodsiana,established,",7,",",78,75,74,77,",",ALA,ARK,CNT,DEL,WDC,FLA,GEO,ILL,INI,KAN,KTY,LOU,MRY,MSI,MSO,NWJ,NCA,OHI,OKL,PEN,SCA,TEN,TEX,VRG,WVA,",",,ALA-OO,ARK-OO,CNT-OO,DEL-OO,FLA-OO,GEO-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,LOU-OO,MRY-OO,MSI-OO,MSO-OO,NCA-OO,NWJ-OO,OHI-OO,OKL-OO,PEN-OO,SCA-OO,TEN-OO,TEX-OO,VRG-OO,WDC-OO,WVA-OO,",",3,7,",",38,75,",",JAP,OHI,",",OHI-OO,",,,,
Valerianella muricata,established,",3,1,4,",",34,13,33,40,35,32,",",CYP,EAI,GRC,IRN,IRQ,KRI,LBS,NCS,PAK,PAL,SAU,TZK,TCS,TUR,TUE,TKM,UZB,WHM,",",,CYP-OO,EAI-OO,GRC-OO,IRN-OO,IRQ-OO,KRI-OO,LBS-OO,NCS-OO,PAK-OO,PAL-OO,SAU-OO,TCS-OO,TKM-OO,TUE-OO,TUR-OO,TZK-OO,UZB-OO,WHM-OO,",",5,1,",",50,14,",",SOA,UKR,",",SOA-OO,UKR-UK,",,,,
Vallaris glabra,established,",4,",",42,",",JAW,LSI,SUM,",",,JAW-OO,LSI-LS,SUM-OO,",",4,",",42,",",XMS,",",XMS-OO,",,,,
Vallisneria americana,established,",7,8,",",78,83,75,81,80,74,71,79,76,72,77,73,",",ALA,CLM,CNT,CUB,DEL,WDC,DOM,FLA,GEO,GUA,HAI,HON,ILL,INI,IOW,JAM,KTY,LOU,MAI,MAN,MRY,MAS,MXC,MXG,MXE,MXT,MIC,MIN,MSI,MSO,NEV,NBR,NWH,NWJ,NWM,NWY,NCA,NSC,OHI,ONT,ORE,PEN,QUE,RHO,SCA,SDA,TEN,TEX,VER,VRG,WAS,WVA,WIS,",",,ALA-OO,CLM-OO,CNT-OO,CUB-OO,DEL-OO,DOM-OO,FLA-OO,GEO-OO,GUA-OO,HAI-HA,HON-OO,ILL-OO,INI-OO,IOW-OO,JAM-OO,KTY-OO,LOU-OO,MAI-OO,MAN-OO,MAS-OO,MIC-OO,MIN-OO,MRY-OO,MSI-OO,MSO-OO,MXC-OO,MXE-OO,MXG-OO,MXT-OO,NBR-OO,NCA-OO,NEV-OO,NSC-OO,NWH-OO,NWJ-OO,NWM-OO,NWY-OO,OHI-OO,ONT-OO,ORE-OO,PEN-OO,QUE-OO,RHO-OO,SCA-OO,SDA-OO,TEN-OO,TEX-OO,VER-OO,VRG-OO,WAS-OO,WDC-OO,WIS-OO,WVA-OO,",",5,7,1,3,6,",",50,71,14,38,63,",",WAU,BRC,RUC,TAI,HAW,",",WAU-WA,BRC-OO,RUC-OO,TAI-OO,HAW-HI,",,,,
Vallisneria australis,established,",5,",",50,",",NSW,QLD,SOA,TAS,VIC,WAU,",",,NSW-NS,QLD-QU,SOA-OO,TAS-OO,VIC-OO,WAU-WA,",",5,",",50,",",WAU,",",WAU-WA,",,,,
Vallisneria nana,invasive,",4,6,5,",",41,60,43,50,42,",",CBD,NWC,NWG,NTA,PHI,QLD,WAU,",",,CBD-OO,NTA-OO,NWC-OO,NWG-OO,PHI-OO,QLD-QU,WAU-WA,",",2,3,5,",",22,38,51,",",GHA,JAP,JAP,",",GHA-OO,,JAP-OO,",",3,",",38,",",JAP,",",,JAP-OO,"
Vallisneria spiralis,invasive,",3,2,4,1,",",34,20,40,27,13,23,24,12,22,32,25,26,41,33,14,11,30,",",AFG,ALG,ASS,BAN,BOT,BUL,BUR,CPV,CAF,CHA,CON,EGY,EQG,ETH,FRA,GHA,GRC,IND,IRN,IRQ,ITA,KAZ,KEN,KGZ,NAT,LBS,MLW,MLI,MOZ,MYA,NAM,NGA,NCS,PAK,PAL,POR,ROM,RWA,SEN,SIE,RUS,SUD,SWI,TZK,TAN,THA,TUR,TUE,TKM,UGA,UKR,UZB,WHM,WSB,YUG,ZAM,ZAI,ZIM,HUN,",",,AFG-OO,ALG-OO,ASS-AS,BAN-OO,BOT-OO,BUL-OO,BUR-OO,CAF-OO,CHA-OO,CON-OO,CPV-OO,EGY-OO,EQG-OO,ETH-OO,FRA-FR,GHA-OO,GRC-OO,HUN-OO,IND-UP,IRN-OO,IRQ-OO,ITA-IT,KAZ-OO,KEN-OO,KGZ-OO,NAT-OO,LBS-OO,MLI-OO,MLW-OO,MOZ-OO,MYA-OO,NCS-OO,NGA-OO,PAK-OO,PAL-OO,POR-OO,ROM-OO,RUS-OO,RWA-OO,SEN-OO,SIE-OO,SUD-OO,SWI-OO,TAN-OO,THA-OO,TKM-OO,TUE-OO,TUR-OO,TZK-OO,UGA-OO,UKR-UK,UZB-OO,WHM-OO,WSB-OO,YUG-OO,ZAI-OO,ZAM-OO,ZIM-OO,",",1,3,2,6,5,",",11,10,13,38,14,29,63,27,51,",",SWI,GRB,HUN,ITA,JAP,BGM,UKR,SIC,MAU,NET,POL,RUC,HAW,TVL,NAT,CPP,REU,NZN,NZS,GER,,YUG,",",SWI-OO,GRB-OO,HUN-OO,ITA-IT,BGM-LU,UKR-MO,SIC-MA,MAU-OO,NET-OO,POL-OO,RUC-OO,HAW-HI,TVL-GA,NAT-OO,TVL-MP,CPP-WC,REU-OO,NZN-OO,NZS-OO,GER-OO,,YUG-MA,",",1,5,",",11,14,51,13,",",POL,RUC,,YUG,",",,POL-OO,RUC-OO,YUG-MA,"
Vanda tricolor,established,",4,",",42,",",JAW,LSI,",",,JAW-OO,LSI-LS,",",6,",",63,",",HAW,",",HAW-HI,",,,,
Vandellia diffusa,established,",2,3,",",26,22,23,24,25,29,33,34,",",ANG,BEN,BKN,BUR,CMN,CAF,CON,ETH,GAB,GHA,GUI,GNB,GGI,IVO,KEN,LBR,MDG,MLI,NGA,SEN,SIE,TAN,TOG,TCS,TUR,UGA,ZAM,ZAI,",",,ANG-OO,BEN-OO,BKN-OO,BUR-OO,CAF-OO,CMN-OO,CON-OO,ETH-OO,GAB-OO,GGI-OO,GHA-OO,GNB-OO,GUI-OO,IVO-OO,KEN-OO,LBR-OO,MDG-OO,MLI-OO,NGA-OO,SEN-OO,SIE-OO,TAN-OO,TCS-OO,TOG-OO,TUR-OO,UGA-OO,ZAI-OO,ZAM-OO,",",7,8,",",79,83,",",MXT,MXG,ECU,",",MXT-CI,MXT-TB,MXG-VC,ECU-OO,",,,,
Vangueria madagascariensis,established,",2,",",26,22,23,24,29,25,27,",",ANG,BEN,CMN,CAF,CHA,COM,ERI,ETH,GHA,KEN,NAT,MDG,MLW,MLI,MOZ,NGA,TVL,SUD,SWZ,TAN,UGA,ZAI,",",,ANG-OO,BEN-OO,CAF-OO,CHA-OO,CMN-OO,COM-CO,ERI-OO,ETH-OO,GHA-OO,KEN-OO,NAT-OO,MDG-OO,MLI-OO,MLW-OO,MOZ-OO,NGA-OO,SUD-OO,SWZ-OO,TAN-OO,TVL-OO,UGA-OO,ZAI-OO,",",8,2,6,",",81,29,80,61,",",WIN,MAU,NIC,PUE,MRQ,SEY,REU,ROD,",",WIN-SL,MAU-OO,NIC-OO,PUE-OO,MRQ-OO,SEY-OO,REU-OO,ROD-OO,",,,,
Vanilla planifolia,established,",8,7,",",80,84,83,79,",",BLZ,BZN,BZE,BZL,CLM,COS,ELS,GUA,HON,MXG,MXT,MXS,NIC,PAN,",",,BLZ-OO,BZE-OO,BZL-OO,BZN-OO,CLM-OO,COS-OO,ELS-OO,GUA-OO,HON-OO,MXG-OO,MXS-OO,MXT-OO,NIC-OO,PAN-OO,",",2,8,6,7,",",26,22,23,81,21,60,62,29,61,78,63,",",ANG,IVO,ZAI,CUB,CNY,FIJ,MRN,MDG,MAU,TUB,TUA,MRQ,SCI,GGI,SEY,FLA,HAW,REU,",",ANG-OO,IVO-OO,ZAI-OO,CUB-OO,CNY-OO,FIJ-OO,MRN-GU,MDG-OO,MAU-OO,TUB-OO,TUA-OO,MRQ-OO,SCI-OO,GGI-ST,SEY-OO,FLA-OO,HAW-HI,REU-OO,",,,,
Vanilla pompona,established,",8,7,",",83,84,80,82,81,79,",",BOL,BZN,BZE,BZC,CLM,COS,ECU,FRG,GUA,GUY,HON,JAM,MXG,MXT,MXS,NIC,PAN,PER,SUR,TRT,VEN,WIN,",",,BOL-OO,BZC-OO,BZE-OO,BZN-OO,CLM-OO,COS-OO,ECU-OO,FRG-OO,GUA-OO,GUY-OO,HON-OO,JAM-OO,MXG-OO,MXS-OO,MXT-OO,NIC-OO,PAN-OO,PER-OO,SUR-OO,TRT-OO,VEN-OO,WIN-OO,",",8,6,7,",",81,61,78,",",CAY,WIN,PUE,SCI,FLA,",",CAY-OO,WIN-DO,WIN-MA,PUE-OO,SCI-OO,FLA-OO,",,,,
Varronia curassavica,invasive,",8,7,",",85,81,80,83,84,82,79,",",AGE,AGW,ARU,BLZ,BOL,BZN,BZE,BZS,BZL,BZC,CLM,COS,CUB,DOM,ECU,ELS,FRG,GUA,GUY,HAI,HON,JAM,LEE,MXI,MXC,MXG,MXE,MXN,MXT,MXS,NLA,NIC,PAN,PAR,PER,PUE,SUR,TRT,URU,VEN,VNA,WIN,",",,AGE-OO,AGW-OO,ARU-OO,BLZ-OO,BOL-OO,BZC-OO,BZE-OO,BZL-OO,BZN-OO,BZS-OO,CLM-OO,COS-OO,CUB-OO,DOM-OO,ECU-OO,ELS-OO,FRG-OO,GUA-OO,GUY-OO,HAI-HA,HON-OO,JAM-OO,LEE-OO,MXC-OO,MXE-OO,MXG-OO,MXI-OO,MXN-OO,MXS-OO,MXT-OO,NIC-OO,NLA-OO,PAN-OO,PAR-OO,PER-OO,PUE-OO,SUR-OO,TRT-OO,URU-OO,VEN-OO,VNA-OO,WIN-OO,",",4,2,7,",",42,40,29,78,",",XMS,SRL,MDG,MAU,FLA,",",XMS-OO,SRL-OO,MDG-OO,MAU-OO,FLA-OO,,",",2,",",29,",",MAU,",",,MAU-OO,"
Varronia cylindrostachya,established,",8,",",83,82,81,",",BOL,CLM,ECU,PER,VEN,VNA,",",,BOL-OO,CLM-OO,ECU-OO,PER-OO,VEN-OO,VNA-OO,",",4,",",42,",",MLY,",",MLY-PM,MLY-SI,",,,,
Vasconcellea monoica,established,",8,",",83,84,",",BOL,BZL,BZC,ECU,",",,BOL-OO,BZC-OO,BZL-OO,ECU-OO,",",8,",",83,",",BOL,",",BOL-OO,",,,,
Vasconcellea pubescens,established,",8,",",83,80,82,",",BOL,CLM,ECU,PAN,PER,VEN,",",,BOL-OO,CLM-OO,ECU-OO,PAN-OO,PER-OO,VEN-OO,",",8,2,5,",",83,23,51,25,",",BOL,ZAI,RWA,TAN,NZN,",",BOL-OO,ZAI-OO,RWA-OO,TAN-OO,NZN-OO,",,,,
Vasconcellea x pentagona,established,",8,",",83,",",BOL,CLM,ECU,",",,BOL-OO,CLM-OO,ECU-OO,",",8,",",83,",",BOL,",",BOL-OO,",,,,
Veitchia arecina,established,",6,",",60,",",VAN,",",,VAN-OO,",",6,",",62,",",MRN,",",MRN-NM,",,,,
Vellereophyton dealbatum,established,",2,",",27,26,",",CPP,MOZ,",",,CPP-OO,MOZ-OO,",",5,",",50,51,",",NSW,SOA,TAS,VIC,WAU,NZN,",",NSW-NS,SOA-OO,TAS-OO,VIC-OO,WAU-WA,NZN-OO,",,,,
Vellosiella spathacea,established,",8,",",82,",",GUY,VEN,",",,GUY-OO,VEN-OO,",",8,",",84,",",BZN,",",BZN-RM,",,,,
Ventenata dubia,invasive,",1,2,3,",",13,20,11,12,32,14,33,34,",",ALB,ALG,AUT,BUL,CZE,FRA,GER,GRC,HUN,ITA,KAZ,KRY,NCS,POL,POR,ROM,SAR,RUS,SPA,TCS,TUR,TUE,UKR,YUG,TUN,",",,ALB-OO,ALG-OO,AUT-AU,BUL-OO,CZE-CZ,FRA-FR,GER-OO,GRC-OO,HUN-OO,ITA-IT,KAZ-OO,KRY-OO,NCS-OO,POL-OO,POR-OO,ROM-OO,RUS-OO,SAR-OO,SPA-SP,TCS-OO,TUE-OO,TUN-OO,TUR-OO,UKR-UK,YUG-OO,",",7,1,",",71,72,76,73,75,74,10,",",ABT,BRC,NBR,NSC,ONT,CAL,IDA,MAI,MNT,NWY,OHI,ORE,UTA,WAS,WIS,WYO,GRB,",",ABT-OO,BRC-OO,NBR-OO,NSC-OO,ONT-OO,CAL-OO,IDA-OO,MAI-OO,MNT-OO,NWY-OO,OHI-OO,ORE-OO,UTA-OO,WAS-OO,WIS-OO,WYO-OO,,GRB-OO,",",1,7,",",10,73,",",GRB,IDA,MNT,ORE,WAS,WYO,",",,GRB-OO,IDA-OO,MNT-OO,ORE-OO,WAS-OO,WYO-OO,"
Veratrum album,established,",1,3,",",13,11,14,10,12,30,31,33,34,",",ALB,AUT,BLT,BLR,RUC,CZE,RUE,FIN,FRA,GER,HUN,ITA,KRA,MAG,RUN,NOR,POL,POR,ROM,RUS,SPA,SWI,TCS,TUR,UKR,WSB,YAK,YUG,",",,ALB-OO,AUT-AU,BLR-OO,BLT-OO,CZE-OO,FIN-OO,FRA-FR,GER-OO,HUN-OO,ITA-IT,KRA-OO,MAG-OO,NOR-OO,POL-OO,POR-OO,ROM-OO,RUC-OO,RUE-OO,RUN-OO,RUS-OO,SPA-SP,SWI-OO,TCS-OO,TUR-OO,UKR-UK,WSB-OO,YAK-OO,YUG-OO,",",1,",",10,",",SWE,",",SWE-OO,",,,,
Verbascum blattaria,invasive,",3,1,2,",",34,13,20,30,11,14,12,32,33,36,",",AFG,ALB,ALG,ALT,AUT,BGM,BUL,RUC,COR,CYP,CZE,EAI,RUE,FRA,GER,GRC,HUN,IRN,ITA,KAZ,KGZ,KRY,LBS,LBY,MOR,NET,NCS,RUW,POL,ROM,SAR,SIC,RUS,SPA,SWI,TZK,TCS,TUN,TUR,TUE,TKM,UKR,UZB,CHX,YUG,",",,AFG-OO,ALB-OO,ALG-OO,ALT-OO,AUT-AU,BGM-BE,BUL-OO,CHX-OO,COR-OO,CYP-OO,CZE-OO,EAI-OO,FRA-FR,GER-OO,GRC-OO,HUN-OO,IRN-OO,ITA-IT,KAZ-OO,KGZ-OO,KRY-OO,LBS-OO,LBY-OO,MOR-MO,NCS-OO,NET-OO,POL-OO,ROM-OO,RUC-OO,RUE-OO,RUS-OO,RUW-OO,SAR-OO,SIC-SI,SPA-SP,SWI-OO,TCS-OO,TKM-OO,TUE-OO,TUN-OO,TUR-OO,TZK-OO,UKR-UK,UZB-OO,YUG-OO,",",5,7,1,3,2,6,",",50,71,72,10,38,79,51,14,20,78,76,73,75,63,74,77,27,11,",",NSW,TAS,VIC,BRC,NBR,ONT,QUE,GRB,JAP,MXE,RUC,TUN,ALA,ARK,ARI,CAL,COL,CNT,WDC,DEL,FLA,GEO,HAW,IOW,IDA,ILL,INI,KAN,KTY,LOU,MAS,MRY,MAI,MIC,MIN,MSO,MSI,MNT,NCA,NDA,NEB,NWH,NWJ,NWM,NEV,NWY,OHI,OKL,ORE,PEN,RHO,SCA,SDA,TEN,TEX,UTA,VRG,VER,WAS,WIS,WVA,CPP,NZN,GER,JAP,",",NSW-NS,TAS-OO,VIC-OO,BRC-OO,NBR-OO,ONT-OO,QUE-OO,GRB-OO,MXE-CU,MXE-CO,RUC-OO,TUN-OO,ALA-OO,ARK-OO,ARI-OO,CAL-OO,COL-OO,CNT-OO,WDC-OO,DEL-OO,FLA-OO,GEO-OO,HAW-HI,IOW-OO,IDA-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,LOU-OO,MAS-OO,MRY-OO,MAI-OO,MIC-OO,MIN-OO,MSO-OO,MSI-OO,MNT-OO,NCA-OO,NDA-OO,NEB-OO,NWH-OO,NWJ-OO,NWM-OO,NEV-OO,NWY-OO,OHI-OO,OKL-OO,ORE-OO,PEN-OO,RHO-OO,SCA-OO,SDA-OO,TEN-OO,TEX-OO,UTA-OO,VRG-OO,VER-OO,WAS-OO,WIS-OO,WVA-OO,CPP-WC,NZN-OO,GER-OO,,JAP-OO,",",3,7,",",38,",",JAP,",",,JAP-OO,"
Verbascum bombyciferum,established,",3,",",34,",",TUR,",",,TUR-OO,",",7,",",76,",",CAL,",",CAL-OO,",,,,
Verbascum chaixii,established,",1,3,",",11,13,14,12,32,33,36,",",AUT,BUL,RUC,CZE,RUE,FRA,GRC,HUN,ITA,KAZ,KGZ,KRY,NCS,POL,ROM,SIC,RUS,SPA,SWI,TCS,UKR,CHX,YUG,",",,AUT-AU,BUL-OO,CHX-OO,CZE-OO,FRA-FR,GRC-OO,HUN-OO,ITA-IT,KAZ-OO,KGZ-OO,KRY-OO,NCS-OO,POL-OO,ROM-OO,RUC-OO,RUE-OO,RUS-OO,SIC-SI,SPA-SP,SWI-OO,TCS-OO,UKR-UK,YUG-OO,",",1,7,",",10,74,",",GRB,SWE,MIN,",",GRB-OO,SWE-OO,MIN-OO,",,,,
